Car_Name,Car_Brand,Year,Transmission,Mileage,Price
Chevrolet Colorado,Chevrolet,2013,Automatic,113000,650000
Chevrolet Colorado,Chevrolet,2017,Automatic,33000,708000
Chevrolet Colorado,Chevrolet,2017,Automatic,33000,728000
Chevrolet Colorado,Chevrolet,2017,Automatic,57000,730000
Chevrolet Colorado,Chevrolet,2017,Automatic,50000,870000
Chevrolet Colorado,Chevrolet,2020,Automatic,19000,895000
Chevrolet Colorado,Chevrolet,2021,Automatic,13747,988000
Chevrolet Colorado,Chevrolet,2020,Automatic,4000,1135000
Chevrolet Corvette,Chevrolet,2017,Automatic,18000,7288000
Chevrolet Corvette,Chevrolet,2020,Automatic,20000,7558000
Chevrolet Corvette,Chevrolet,2022,Automatic,6000,9200000
Chevrolet Cruze,Chevrolet,2013,Automatic,89000,300000
Chevrolet Optra,Chevrolet,2009,Automatic,12345,195000
Chevrolet Orlando,Chevrolet,2013,Automatic,67000,388000
Chevrolet Sail,Chevrolet,2017,Manual,50000,238000
Chevrolet Sail,Chevrolet,2017,Manual,100000,268000
Chevrolet Sail,Chevrolet,2019,Automatic,30000,368000
Chevrolet Sail,Chevrolet,2017,Automatic,36742,490000
Chevrolet Sail,Chevrolet,2018,Automatic,28939,520000
Chevrolet Spark,Chevrolet,2012,Automatic,147000,200000
Chevrolet Spark,Chevrolet,2013,Manual,70000,210000
Chevrolet Spark,Chevrolet,2018,Automatic,35204,390000
Chevrolet Spark,Chevrolet,2018,Automatic,30000,425000
Chevrolet Spark,Chevrolet,2018,Manual,30000,448000
Chevrolet Spark,Chevrolet,2022,Automatic,2666,590000
Chevrolet Spark,Chevrolet,2022,Automatic,6999,630000
Chevrolet Spin,Chevrolet,2015,Automatic,38000,428000
Chevrolet Suburban,Chevrolet,2007,Automatic,60000,668000
Chevrolet Suburban,Chevrolet,2010,Automatic,80000,1462500
Chevrolet Suburban,Chevrolet,2018,Automatic,51000,3244500
Chevrolet Suburban,Chevrolet,2016,Automatic,35000,3296000
Chevrolet Tahoe,Chevrolet,2008,Automatic,90000,558000
Chevrolet Tahoe,Chevrolet,2008,Automatic,90000,568000
